mode,encounter,time_s,hsep_ft,vsep_ft,ssep_ft
acas,8,123.7,13935.6267029857,390.289112407936,13941.090961479
acas,8,123.8,13976.7094250043,391.12244574127,13982.180914241
acas,8,123.9,14017.7921851443,391.955779074603,14023.2709122602
acas,8,124,14058.8749830717,392.789112407937,14064.3609551399
acas,8,124.1,14099.957818456,393.62244574127,14105.4510424881
acas,8,124.2,14141.0406909708,394.455779074604,14146.5411739173
acas,8,124.3,14182.1236002934,395.289112407937,14187.6313490444
acas,8,124.4,14223.2065461049,396.122445741271,14228.7215674909
acas,8,124.5,14264.28952809,396.955779074604,14269.8118288826
acas,8,124.6,14305.3725459371,397.789112407938,14310.9021328496
acas,8,124.7,14346.455599338,398.622445741271,14351.9924790262
acas,8,124.8,14387.5386879882,399.455779074605,14393.0828670508
acas,8,124.9,14428.6218115866,400.289112407938,14434.1732965662
acas,8,125,14469.7049698354,401.122445741272,14475.2637672188
acas,8,125.1,14510.7881624405,401.955779074605,14516.3542786595
acas,8,125.2,14551.8713891108,402.789112407939,14557.4448305428
acas,8,125.3,14592.9546495587,403.622445741272,14598.5354225272
acas,8,125.4,14634.0379434995,404.455779074606,14639.6260542751
acas,8,125.5,14675.1212706521,405.289112407939,14680.7167254525
acas,8,125.6,14716.2046307382,406.122445741273,14721.8074357293
acas,8,125.7,14757.2880234829,406.955779074606,14762.8981847791
acas,8,125.8,14798.3714486141,407.78911240794,14803.9889722789
acas,8,125.9,14839.4549058628,408.622445741273,14845.0797979095
acas,8,126,14880.5383949631,409.455779074607,14886.1706613551
acas,8,126.1,14921.6219156518,410.28911240794,14927.2615623034
acas,8,126.2,14962.7054676687,411.122445741274,14968.3525004455
acas,8,126.3,15003.7890507565,411.955779074607,15009.4434754761
acas,8,126.4,15044.8726646606,412.789112407941,15050.5344870929
acas,8,126.5,15085.9563091293,413.622445741274,15091.6255349972
acas,8,126.6,15127.0399839135,414.455779074608,15132.7166188932
acas,8,126.7,15168.123688767,415.289112407941,15173.8077384887
acas,8,126.8,15209.207423446,416.122445741275,15214.8988934943
acas,8,126.9,15250.2911877095,416.955779074608,15255.990083624
acas,8,127,15291.374981319,417.789112407942,15297.0813085946
acas,8,127.1,15332.4588040386,418.622445741275,15338.1725681262
acas,8,127.2,15373.542655635,419.455779074608,15379.2638619418
acas,8,127.3,15414.6265358773,420.289112407942,15420.3551897672
acas,8,127.4,15455.7104445369,421.122445741275,15461.4465513313
acas,8,127.5,15496.794381388,421.955779074609,15502.5379463659
acas,8,127.6,15537.8783462069,422.789112407942,15543.6293746054
acas,8,127.7,15578.9623387723,423.622445741276,15584.7208357872
acas,8,127.8,15620.0463588653,424.455779074609,15625.8123296515
acas,8,127.9,15661.1304062692,425.289112407943,15666.9038559411
acas,8,128,15702.2144807697,426.122445741276,15707.9954144015
acas,8,128.1,15743.2985821546,426.95577907461,15749.0870047808
acas,8,128.2,15784.382710214,427.789112407943,15790.17862683
acas,8,128.3,15825.4668647402,428.622445741277,15831.2702803023
acas,8,128.4,15866.5510455276,429.45577907461,15872.3619649538
acas,8,128.5,15907.6352523726,430.289112407944,15913.4536805429
acas,8,128.6,15948.719485074,431.122445741277,15954.5454268306
acas,8,128.7,15989.8037434324,431.955779074611,15995.6372035802
acas,8,128.8,16030.8880272505,432.789112407944,16036.7290105577
acas,8,128.9,16071.9723363331,433.622445741278,16077.8208475312
acas,8,129,16113.056670487,434.455779074611,16118.9127142713
acas,8,129.1,16154.1410295208,435.289112407945,16160.004610551
acas,8,129.2,16195.2254132453,436.122445741278,16201.0965361455
acas,8,129.3,16236.3098214729,436.955779074612,16242.1884908323
acas,8,129.4,16277.3942540182,437.789112407945,16283.2804743911
acas,8,129.5,16318.4787106974,438.622445741279,16324.372486604
acas,8,129.6,16359.5631913288,439.455779074612,16365.464527255
acas,8,129.7,16400.6476957323,440.289112407946,16406.5565961306
acas,8,129.8,16441.7322237298,441.122445741279,16447.6486930191
acas,8,129.9,16482.8167751448,441.955779074613,16488.7408177111
acas,8,130,16523.9013498025,442.789112407946,16529.8329699992
acas,8,130.1,16564.9859475302,443.62244574128,16570.9251496783
acas,8,130.2,16606.0705681566,444.455779074613,16612.0173565449
acas,8,130.3,16647.1552115121,445.289112407947,16653.1095903979
acas,8,130.4,16688.2398774288,446.12244574128,16694.2018510379
acas,8,130.5,16729.3245657405,446.955779074613,16735.2941382677
acas,8,130.6,16770.4092762827,447.789112407947,16776.3864518919
acas,8,130.7,16811.4940088924,448.62244574128,16817.4787917169
acas,8,130.8,16852.5787634081,449.455779074614,16858.5711575512
acas,8,130.9,16893.66353967,450.289112407947,16899.663549205
acas,8,131,16934.7483375199,451.122445741281,16940.7559664906
acas,8,131.1,16975.8331568011,451.955779074614,16981.8484092217
acas,8,131.2,17016.9179973582,452.789112407948,17022.9408772142
acas,8,131.3,17058.0028590376,453.622445741281,17064.0333702855
acas,8,131.4,17099.087741687,454.455779074615,17105.1258882548
acas,8,131.5,17140.1726451556,455.289112407948,17146.2184309433
acas,8,131.6,17181.2575692941,456.122445741282,17187.3109981735
acas,8,131.7,17222.3425139545,456.955779074615,17228.4035897699
acas,8,131.8,17263.4274789904,457.789112407949,17269.4962055585
acas,8,131.9,17304.5124642565,458.622445741282,17310.588845367
acas,8,132,17345.5974696091,459.455779074616,17351.6815090249
