mode,encounter,time_s,hsep_ft,vsep_ft,ssep_ft
daidalus,9,159.6,12704.2756383164,610.755752879615,12718.9481516356
daidalus,9,159.7,12722.5181934789,610.755752879615,12737.1696924033
daidalus,9,159.8,12740.7607672916,610.755752879615,12755.391311874
daidalus,9,159.9,12759.0033596743,610.755752879615,12773.6130097109
daidalus,9,160,12777.2459705476,610.755752879615,12791.8347855791
daidalus,9,160.1,12795.4885998324,610.755752879615,12810.0566391456
daidalus,9,160.2,12813.7312474501,610.755752879615,12828.2785700792
daidalus,9,160.3,12831.9739133223,610.755752879615,12846.5005780508
daidalus,9,160.4,12850.2165973715,610.755752879615,12864.7226627331
daidalus,9,160.5,12868.4592995203,610.755752879615,12882.9448238004
daidalus,9,160.6,12886.7020196918,610.755752879615,12901.1670609292
daidalus,9,160.7,12904.9447578096,610.755752879615,12919.3893737975
daidalus,9,160.8,12923.1875137977,610.755752879615,12937.6117620855
daidalus,9,160.9,12941.4302875805,610.755752879615,12955.8342254747
daidalus,9,161,12959.673079083,610.755752879615,12974.0567636489
daidalus,9,161.1,12977.9158882302,610.755752879615,12992.2793762932
daidalus,9,161.2,12996.1587149481,610.755752879615,13010.5020630949
daidalus,9,161.3,13014.4015591626,610.755752879615,13028.7248237427
daidalus,9,161.4,13032.6444208003,610.755752879615,13046.9476579272
daidalus,9,161.5,13050.8872997881,610.755752879615,13065.1705653407
daidalus,9,161.6,13069.1301960534,610.755752879615,13083.3935456772
daidalus,9,161.7,13087.3731095239,610.755752879615,13101.6165986325
daidalus,9,161.8,13105.6160401277,610.755752879615,13119.839723904
daidalus,9,161.9,13123.8589877935,610.755752879615,13138.0629211906
daidalus,9,162,13142.1019524502,610.755752879615,13156.2861901933
daidalus,9,162.1,13160.3449340271,610.755752879615,13174.5095306143
daidalus,9,162.2,13178.5879324539,610.755752879615,13192.7329421578
daidalus,9,162.3,13196.8309476608,610.755752879615,13210.9564245293
daidalus,9,162.4,13215.0739795782,610.755752879615,13229.1799774363
daidalus,9,162.5,13233.3170281371,610.755752879615,13247.4036005875
daidalus,9,162.6,13251.5600932688,610.755752879615,13265.6272936936
daidalus,9,162.7,13269.8031749048,610.755752879615,13283.8510564666
daidalus,9,162.8,13288.0462729772,610.755752879615,13302.0748886202
daidalus,9,162.9,13306.2893874185,610.755752879615,13320.2987898696
daidalus,9,163,13324.5325181613,610.755752879615,13338.5227599316
daidalus,9,163.1,13342.7756651388,610.755752879615,13356.7467985245
daidalus,9,163.2,13361.0188282845,610.755752879615,13374.9709053683
daidalus,9,163.3,13379.2620075322,610.755752879615,13393.1950801842
daidalus,9,163.4,13397.5052028163,610.755752879615,13411.4193226953
daidalus,9,163.5,13415.7484140712,610.755752879615,13429.6436326259
daidalus,9,163.6,13433.9916412319,610.755752879615,13447.8680097019
daidalus,9,163.7,13452.2348842337,610.755752879615,13466.0924536507
daidalus,9,163.8,13470.4781430122,610.755752879615,13484.3169642013
daidalus,9,163.9,13488.7214175035,610.755752879615,13502.5415410837
daidalus,9,164,13506.9647076438,610.755752879615,13520.76618403
daidalus,9,164.1,13525.2080133698,610.755752879615,13538.9908927733
daidalus,9,164.2,13543.4513346185,610.755752879615,13557.2156670481
daidalus,9,164.3,13561.6946713274,610.755752879615,13575.4405065907
daidalus,9,164.4,13579.938023434,610.755752879615,13593.6654111385
daidalus,9,164.5,13598.1813908764,610.755752879615,13611.8903804304
daidalus,9,164.6,13616.4247735931,610.755752879615,13630.1154142067
daidalus,9,164.7,13634.6681715225,610.755752879615,13648.340512209
daidalus,9,164.8,13652.9115846039,610.755752879615,13666.5656741804
daidalus,9,164.9,13671.1550127765,610.755752879615,13684.7908998654
daidalus,9,165,13689.3984559799,610.755752879615,13703.0161890097
daidalus,9,165.1,13707.6419141543,610.755752879615,13721.2415413604
daidalus,9,165.2,13725.8853872398,610.755752879615,13739.4669566661
daidalus,9,165.3,13744.1288751771,610.755752879615,13757.6924346764
daidalus,9,165.4,13762.3723779072,610.755752879615,13775.9179751426
daidalus,9,165.5,13780.6158953712,610.755752879615,13794.1435778171
daidalus,9,165.6,13798.8594275108,610.755752879615,13812.3692424536
daidalus,9,165.7,13817.1029742678,610.755752879615,13830.5949688072
daidalus,9,165.8,13835.3465355844,610.755752879615,13848.8207566342
daidalus,9,165.9,13853.5901114031,610.755752879615,13867.0466056922
daidalus,9,166,13871.8337016666,610.755752879615,13885.2725157401
daidalus,9,166.1,13890.0773063181,610.755752879615,13903.4984865381
daidalus,9,166.2,13908.3209253008,610.755752879615,13921.7245178475
daidalus,9,166.3,13926.5645585586,610.755752879615,13939.950609431
daidalus,9,166.4,13944.8082060354,610.755752879615,13958.1767610525
daidalus,9,166.5,13963.0518676754,610.755752879615,13976.4029724771
daidalus,9,166.6,13981.2955434231,610.755752879615,13994.6292434712
daidalus,9,166.7,13999.5392332236,610.755752879615,14012.8555738023
daidalus,9,166.8,14017.7829370218,610.755752879615,14031.0819632391
daidalus,9,166.9,14036.0266547631,610.755752879615,14049.3084115517
daidalus,9,167,14054.2703863934,610.755752879615,14067.5349185112
daidalus,9,167.1,14072.5141318586,610.755752879615,14085.7614838898
daidalus,9,167.2,14090.7578911049,610.755752879615,14103.9881074613
daidalus,9,167.3,14109.0016640788,610.755752879615,14122.2147890002
daidalus,9,167.4,14127.2454507273,610.755752879615,14140.4415282823
daidalus,9,167.5,14145.4892509974,610.755752879615,14158.6683250847
daidalus,9,167.6,14163.7330648364,610.755752879615,14176.8951791855
daidalus,9,167.7,14181.9768921919,610.755752879615,14195.1220903641
daidalus,9,167.8,14200.220733012,610.755752879615,14213.3490584007
daidalus,9,167.9,14218.4645872447,610.755752879615,14231.576083077
daidalus,9,168,14236.7084548386,610.755752879615,14249.8031641756
daidalus,9,168.1,14254.9523357422,610.755752879615,14268.0303014802
daidalus,9,168.2,14273.1962299046,610.755752879615,14286.2574947758
daidalus,9,168.3,14291.4401372749,610.755752879615,14304.4847438483
daidalus,9,168.4,14309.6840578028,610.755752879615,14322.7120484847
daidalus,9,168.5,14327.9279914378,610.755752879615,14340.9394084733
daidalus,9,168.6,14346.17193813,610.755752879615,14359.1668236031
daidalus,9,168.7,14364.4158978297,610.755752879615,14377.3942936645
daidalus,9,168.8,14382.6598704873,610.755752879615,14395.6218184489
daidalus,9,168.9,14400.9038560536,610.755752879615,14413.8493977485
daidalus,9,169,14419.1478544796,610.755752879615,14432.0770313569
daidalus,9,169.1,14437.3918657166,610.755752879615,14450.3047190686
daidalus,9,169.2,14455.635889716,610.755752879615,14468.532460679
daidalus,9,169.3,14473.8799264296,610.755752879615,14486.7602559847
daidalus,9,169.4,14492.1239758094,610.755752879615,14504.9881047833
daidalus,9,169.5,14510.3680378075,610.755752879615,14523.2160068733
daidalus,9,169.6,14528.6121123765,610.755752879615,14541.4439620544
daidalus,9,169.7,14546.8561994691,610.755752879615,14559.6719701272
daidalus,9,169.8,14565.1002990382,610.755752879615,14577.9000308932
daidalus,9,169.9,14583.3444110369,610.755752879615,14596.1281441551
daidalus,9,170,14601.5885354187,610.755752879615,14614.3563097164
daidalus,9,170.1,14619.8326721372,610.755752879615,14632.5845273816
daidalus,9,170.2,14638.0768211464,610.755752879615,14650.8127969563
daidalus,9,170.3,14656.3209824002,610.755752879615,14669.041118247
daidalus,9,170.4,14674.5651558531,610.755752879615,14687.269491061
daidalus,9,170.5,14692.8093414595,610.755752879615,14705.4979152069
daidalus,9,170.6,14711.0535391743,610.755752879615,14723.726390494
daidalus,9,170.7,14729.2977489525,610.755752879615,14741.9549167325
daidalus,9,170.8,14747.5419707493,610.755752879615,14760.1834937337
daidalus,9,170.9,14765.7862045201,610.755752879615,14778.4121213097
daidalus,9,171,14784.0304502207,610.755752879615,14796.6407992736
daidalus,9,171.1,14802.2747078069,610.755752879615,14814.8695274395
daidalus,9,171.2,14820.5189772348,610.755752879615,14833.0983056222
daidalus,9,171.3,14838.7632584607,610.755752879615,14851.3271336375
daidalus,9,171.4,14857.0075514412,610.755752879615,14869.5560113023
daidalus,9,171.5,14875.251856133,610.755752879615,14887.7849384341
daidalus,9,171.6,14893.4961724932,610.755752879615,14906.0139148514
daidalus,9,171.7,14911.7405004787,610.755752879615,14924.2429403737
daidalus,9,171.8,14929.9848400472,610.755752879615,14942.4720148212
daidalus,9,171.9,14948.229191156,610.755752879615,14960.701138015
daidalus,9,172,14966.4735537631,610.755752879615,14978.9303097773
daidalus,9,172.1,14984.7179278264,610.755752879615,14997.1595299309
daidalus,9,172.2,15002.9623133041,610.755752879615,15015.3887982995
daidalus,9,172.3,15021.2067101547,610.755752879615,15033.6181147079
daidalus,9,172.4,15039.4511183367,610.755752879615,15051.8474789813
daidalus,9,172.5,15057.695537809,610.755752879615,15070.0768909462
daidalus,9,172.6,15075.9399685306,610.755752879615,15088.3063504296
daidalus,9,172.7,15094.1844104607,610.755752879615,15106.5358572596
daidalus,9,172.8,15112.4288635586,610.755752879615,15124.7654112649
daidalus,9,172.9,15130.673327784,610.755752879615,15142.9950122752
daidalus,9,173,15148.9178030968,610.755752879615,15161.2246601209
daidalus,9,173.1,15167.1622894568,610.755752879615,15179.4543546333
daidalus,9,173.2,15185.4067868242,610.755752879615,15197.6840956444
daidalus,9,173.3,15203.6512951595,610.755752879615,15215.9138829871
daidalus,9,173.4,15221.8958144232,610.755752879615,15234.1437164952
daidalus,9,173.5,15240.140344576,610.755752879615,15252.373596003
daidalus,9,173.6,15258.3848855789,610.755752879615,15270.6035213458
daidalus,9,173.7,15276.6294373931,610.755752879615,15288.8334923597
daidalus,9,173.8,15294.8739999797,610.755752879615,15307.0635088815
daidalus,9,173.9,15313.1185733004,610.755752879615,15325.2935707487
daidalus,9,174,15331.3631573167,610.755752879615,15343.5236777998
daidalus,9,174.1,15349.6077519907,610.755752879615,15361.753829874
daidalus,9,174.2,15367.8523572842,610.755752879615,15379.984026811
daidalus,9,174.3,15386.0969731595,610.755752879615,15398.2142684515
daidalus,9,174.4,15404.3415995791,610.755752879615,15416.4445546371
daidalus,9,174.5,15422.5862365055,610.755752879615,15434.6748852097
daidalus,9,174.6,15440.8308839014,610.755752879615,15452.9052600124
daidalus,9,174.7,15459.0755417298,610.755752879615,15471.1356788888
daidalus,9,174.8,15477.3202099539,610.755752879615,15489.3661416832
daidalus,9,174.9,15495.5648885368,610.755752879615,15507.5966482408
daidalus,9,175,15513.809577442,610.755752879615,15525.8271984074
daidalus,9,175.1,15532.0542766332,610.755752879615,15544.0577920296
daidalus,9,175.2,15550.2989860741,610.755752879615,15562.2884289546
daidalus,9,175.3,15568.5437057288,610.755752879615,15580.5191090304
daidalus,9,175.4,15586.7884355613,610.755752879615,15598.7498321059
daidalus,9,175.5,15605.0331755359,610.755752879615,15616.9805980302
daidalus,9,175.6,15623.2779256172,610.755752879615,15635.2114066537
daidalus,9,175.7,15641.5226857698,610.755752879615,15653.442257827
daidalus,9,175.8,15659.7674559583,610.755752879615,15671.6731514018
daidalus,9,175.9,15678.0122361479,610.755752879615,15689.9040872301
daidalus,9,176,15696.2570263037,610.755752879615,15708.1350651649
daidalus,9,176.1,15714.5018263909,610.755752879615,15726.3660850597
daidalus,9,176.2,15732.7466363749,610.755752879615,15744.5971467688
daidalus,9,176.3,15750.9914562214,610.755752879615,15762.8282501471
daidalus,9,176.4,15769.2362858962,610.755752879615,15781.0593950502
daidalus,9,176.5,15787.4811253652,610.755752879615,15799.2905813343
daidalus,9,176.6,15805.7259745944,610.755752879615,15817.5218088563
daidalus,9,176.7,15823.9708335501,610.755752879615,15835.7530774738
daidalus,9,176.8,15842.2157021988,610.755752879615,15853.9843870451
daidalus,9,176.9,15860.4605805068,610.755752879615,15872.2157374289
daidalus,9,177,15878.7054684411,610.755752879615,15890.4471284849
daidalus,9,177.1,15896.9503659683,610.755752879615,15908.6785600733
daidalus,9,177.2,15915.1952730555,610.755752879615,15926.9100320547
daidalus,9,177.3,15933.4401896699,610.755752879615,15945.1415442907
daidalus,9,177.4,15951.6851157788,610.755752879615,15963.3730966433
daidalus,9,177.5,15969.9300513497,610.755752879615,15981.6046889753
daidalus,9,177.6,15988.1749963501,610.755752879615,15999.8363211499
daidalus,9,177.7,16006.4199507478,610.755752879615,16018.0679930312
daidalus,9,177.8,16024.6649145107,610.755752879615,16036.2997044837
daidalus,9,177.9,16042.9098876068,610.755752879615,16054.5314553726
daidalus,9,178,16061.1548700044,610.755752879615,16072.7632455637
daidalus,9,178.1,16079.3998616718,610.755752879615,16090.9950749233
daidalus,9,178.2,16097.6448625775,610.755752879615,16109.2269433186
daidalus,9,178.3,16115.88987269,610.755752879615,16127.4588506171
daidalus,9,178.4,16134.1348919782,610.755752879615,16145.690796687
daidalus,9,178.5,16152.379920411,610.755752879615,16163.9227813972
daidalus,9,178.6,16170.6249579574,610.755752879615,16182.154804617
daidalus,9,178.7,16188.8700045865,610.755752879615,16200.3868662164
daidalus,9,178.8,16207.1150602678,610.755752879615,16218.618966066
daidalus,9,178.9,16225.3601249707,610.755752879615,16236.8511040369
daidalus,9,179,16243.6051986648,610.755752879615,16255.0832800009
daidalus,9,179.1,16261.8502813197,610.755752879615,16273.3154938302
daidalus,9,179.2,16280.0953729055,610.755752879615,16291.5477453978
daidalus,9,179.3,16298.3404733921,610.755752879615,16309.780034577
daidalus,9,179.4,16316.5855827496,610.755752879615,16328.0123612419
