relative_altitude_ft,vertical_rate_ft_s,tau_sec,previous_advisory,optimal_advisory
-700,20.8333333333333,9,0,COC
-700,20.8333333333333,9,1,COC
-700,20.8333333333333,9,2,COC
-700,20.8333333333333,10,0,COC
-700,20.8333333333333,10,1,COC
-700,20.8333333333333,10,2,RIGHT
-700,20.8333333333333,11,0,COC
-700,20.8333333333333,11,1,COC
-700,20.8333333333333,11,2,RIGHT
-700,20.8333333333333,12,0,COC
-700,20.8333333333333,12,1,COC
-700,20.8333333333333,12,2,RIGHT
-700,20.8333333333333,13,0,COC
-700,20.8333333333333,13,1,COC
-700,20.8333333333333,13,2,RIGHT
-700,20.8333333333333,14,0,COC
-700,20.8333333333333,14,1,COC
-700,20.8333333333333,14,2,RIGHT
-700,20.8333333333333,15,0,COC
-700,20.8333333333333,15,1,COC
-700,20.8333333333333,15,2,RIGHT
-700,20.8333333333333,16,0,COC
-700,20.8333333333333,16,1,COC
-700,20.8333333333333,16,2,RIGHT
-700,20.8333333333333,17,0,COC
-700,20.8333333333333,17,1,COC
-700,20.8333333333333,17,2,RIGHT
-700,20.8333333333333,18,0,COC
-700,20.8333333333333,18,1,COC
-700,20.8333333333333,18,2,RIGHT
-700,20.8333333333333,19,0,COC
-700,20.8333333333333,19,1,COC
-700,20.8333333333333,19,2,RIGHT
-700,20.8333333333333,20,0,COC
-700,20.8333333333333,20,1,COC
-700,20.8333333333333,20,2,RIGHT
-700,20.8333333333333,21,0,COC
-700,20.8333333333333,21,1,COC
-700,20.8333333333333,21,2,RIGHT
-700,20.8333333333333,22,0,COC
-700,20.8333333333333,22,1,COC
-700,20.8333333333333,22,2,RIGHT
-700,20.8333333333333,23,0,COC
-700,20.8333333333333,23,1,COC
-700,20.8333333333333,23,2,RIGHT
-700,20.8333333333333,24,0,COC
-700,20.8333333333333,24,1,COC
-700,20.8333333333333,24,2,RIGHT
-700,20.8333333333333,25,0,COC
-700,20.8333333333333,25,1,COC
-700,20.8333333333333,25,2,RIGHT
-700,20.8333333333333,26,0,COC
-700,20.8333333333333,26,1,COC
-700,20.8333333333333,26,2,RIGHT
-700,20.8333333333333,27,0,COC
-700,20.8333333333333,27,1,COC
-700,20.8333333333333,27,2,RIGHT
-700,20.8333333333333,28,0,COC
-700,20.8333333333333,28,1,COC
-700,20.8333333333333,28,2,RIGHT
-700,20.8333333333333,29,0,COC
-700,20.8333333333333,29,1,COC
-700,20.8333333333333,29,2,RIGHT
-700,20.8333333333333,30,0,COC
-700,20.8333333333333,30,1,COC
-700,20.8333333333333,30,2,RIGHT
-700,20.8333333333333,31,0,COC
-700,20.8333333333333,31,1,COC
-700,20.8333333333333,31,2,RIGHT
-700,20.8333333333333,32,0,COC
-700,20.8333333333333,32,1,COC
-700,20.8333333333333,32,2,RIGHT
-700,20.8333333333333,33,0,COC
-700,20.8333333333333,33,1,COC
-700,20.8333333333333,33,2,RIGHT
-700,20.8333333333333,34,0,COC
-700,20.8333333333333,34,1,COC
-700,20.8333333333333,34,2,RIGHT
-700,20.8333333333333,35,0,COC
-700,20.8333333333333,35,1,COC
-700,20.8333333333333,35,2,RIGHT
-700,20.8333333333333,36,0,COC
-700,20.8333333333333,36,1,COC
-700,20.8333333333333,36,2,RIGHT
-700,20.8333333333333,37,0,COC
-700,20.8333333333333,37,1,COC
-700,20.8333333333333,37,2,RIGHT
-700,20.8333333333333,38,0,COC
-700,20.8333333333333,38,1,COC
-700,20.8333333333333,38,2,RIGHT
-700,20.8333333333333,39,0,COC
-700,20.8333333333333,39,1,COC
-700,20.8333333333333,39,2,RIGHT
-700,20.8333333333333,40,0,COC
-700,20.8333333333333,40,1,COC
-700,20.8333333333333,40,2,RIGHT
-700,25,0,0,COC
-700,25,0,1,COC
-700,25,0,2,COC
-700,25,1,0,COC
-700,25,1,1,COC
-700,25,1,2,COC
-700,25,2,0,COC
-700,25,2,1,COC
-700,25,2,2,COC
-700,25,3,0,COC
-700,25,3,1,COC
-700,25,3,2,COC
-700,25,4,0,COC
-700,25,4,1,COC
-700,25,4,2,COC
-700,25,5,0,COC
-700,25,5,1,COC
-700,25,5,2,COC
-700,25,6,0,COC
-700,25,6,1,COC
-700,25,6,2,COC
-700,25,7,0,COC
-700,25,7,1,COC
-700,25,7,2,COC
-700,25,8,0,COC
-700,25,8,1,COC
-700,25,8,2,COC
-700,25,9,0,COC
-700,25,9,1,COC
-700,25,9,2,RIGHT
-700,25,10,0,COC
-700,25,10,1,COC
-700,25,10,2,RIGHT
-700,25,11,0,RIGHT
-700,25,11,1,COC
-700,25,11,2,RIGHT
-700,25,12,0,RIGHT
-700,25,12,1,COC
-700,25,12,2,RIGHT
-700,25,13,0,RIGHT
-700,25,13,1,COC
-700,25,13,2,RIGHT
-700,25,14,0,RIGHT
-700,25,14,1,COC
-700,25,14,2,RIGHT
-700,25,15,0,RIGHT
-700,25,15,1,COC
-700,25,15,2,RIGHT
-700,25,16,0,RIGHT
-700,25,16,1,COC
-700,25,16,2,RIGHT
-700,25,17,0,RIGHT
-700,25,17,1,COC
-700,25,17,2,RIGHT
-700,25,18,0,COC
-700,25,18,1,COC
-700,25,18,2,RIGHT
-700,25,19,0,COC
-700,25,19,1,COC
-700,25,19,2,RIGHT
-700,25,20,0,COC
-700,25,20,1,COC
-700,25,20,2,RIGHT
-700,25,21,0,COC
-700,25,21,1,COC
-700,25,21,2,RIGHT
-700,25,22,0,COC
-700,25,22,1,COC
-700,25,22,2,RIGHT
-700,25,23,0,COC
-700,25,23,1,COC
-700,25,23,2,RIGHT
-700,25,24,0,COC
-700,25,24,1,COC
-700,25,24,2,RIGHT
-700,25,25,0,COC
-700,25,25,1,COC
-700,25,25,2,RIGHT
-700,25,26,0,COC
-700,25,26,1,COC
-700,25,26,2,RIGHT
-700,25,27,0,COC
-700,25,27,1,COC
-700,25,27,2,RIGHT
-700,25,28,0,COC
-700,25,28,1,COC
-700,25,28,2,RIGHT
-700,25,29,0,COC
-700,25,29,1,COC
-700,25,29,2,RIGHT
-700,25,30,0,COC
-700,25,30,1,COC
-700,25,30,2,RIGHT
-700,25,31,0,COC
-700,25,31,1,COC
-700,25,31,2,RIGHT
-700,25,32,0,COC
-700,25,32,1,COC
-700,25,32,2,RIGHT
-700,25,33,0,COC
-700,25,33,1,COC
-700,25,33,2,RIGHT
-700,25,34,0,COC
-700,25,34,1,COC
-700,25,34,2,RIGHT
-700,25,35,0,COC
-700,25,35,1,COC
-700,25,35,2,RIGHT
-700,25,36,0,COC
-700,25,36,1,COC
-700,25,36,2,RIGHT
-700,25,37,0,COC
-700,25,37,1,COC
-700,25,37,2,RIGHT
-700,25,38,0,COC
-700,25,38,1,COC
-700,25,38,2,RIGHT
